learner_id,gender,age_group,state_of_origin,state_of_residence,education_level,employment_status,device_access,primary_device,prior_tech_experience,monthly_income_band,registration_source,region_of_origin,region_of_residence,internet_quality
LRN0000000,Male,25-34,Kaduna,Lagos,OND/ND,Unemployed,Yes,Mobile Phone,Intermediate,50k-100k,Social Media,North West,South West,Good
LRN0000001,Female,18-24,Abia,Kaduna,Undergraduate,Student,Yes,Mobile Phone,Beginner,<50k,Referral,South East,North West,Moderate
LRN0000002,Female,18-24,Edo,FCT,Secondary School,Student,Yes,Mobile Phone,Beginner,<50k,Email Campaign,South South,North Central,Poor
LRN0000003,Female,25-34,Imo,Jigawa,Undergraduate,Employed,Yes,Laptop,Advanced,<50k,Partner Organisation,South East,North West,Moderate
LRN0000004,Male,18-24,Edo,Benue,OND/ND,Employed,Yes,Mobile Phone,Beginner,250k+,Campus Outreach,South South,North Central,Good
LRN0000005,Male,25-34,Kano,Taraba,OND/ND,Employed,Yes,Mobile Phone,Beginner,100k-250k,Referral,North West,North East,Moderate
LRN0000006,Male,18-24,Benue,Yobe,Undergraduate,Student,Yes,Mobile Phone,Beginner,<50k,Referral,North Central,North East,Good
LRN0000007,Female,25-34,FCT,Bayelsa,Graduate,Employed,Yes,Mobile Phone,Intermediate,<50k,Social Media,North Central,South South,Poor
LRN0000008,Female,18-24,Edo,Imo,Undergraduate,Student,Yes,Laptop,Beginner,50k-100k,Social Media,South South,South East,Poor
LRN0000009,Female,18-24,Imo,Imo,Secondary School,Student,Yes,Mobile Phone,Advanced,100k-250k,Social Media,South East,South East,Good
LRN0000010,Male,35-44,Lagos,Kano,OND/ND,Student,Yes,Mobile Phone,Advanced,<50k,Campus Outreach,South West,North West,Poor
LRN0000011,Female,18-24,Plateau,Rivers,Secondary School,Student,Yes,Laptop,Beginner,250k+,Partner Organisation,North Central,South South,Poor
LRN0000012,Female,25-34,Rivers,FCT,OND/ND,Unemployed,Yes,Mobile Phone,Intermediate,<50k,Email Campaign,South South,North Central,Good
LRN0000013,Male,25-34,Enugu,Oyo,Undergraduate,Self-Employed,Yes,Mobile Phone,Advanced,50k-100k,Social Media,South East,South West,Good
LRN0000014,Male,18-24,Ogun,Adamawa,OND/ND,Employed,Yes,Mobile Phone,Beginner,100k-250k,Social Media,South West,North East,Poor
LRN0000015,Male,25-34,Kano,Oyo,Undergraduate,Unemployed,Yes,Mobile Phone,Advanced,100k-250k,Campus Outreach,North West,South West,Poor
LRN0000016,Male,18-24,Ebonyi,Sokoto,Graduate,Student,Yes,Laptop,Beginner,<50k,Social Media,South East,North West,Moderate
LRN0000017,Female,25-34,Edo,Bayelsa,Graduate,Employed,Yes,Mobile Phone,Beginner,100k-250k,Campus Outreach,South South,South South,Good
LRN0000018,Male,25-34,Abia,Kano,Undergraduate,Student,Yes,Laptop,Intermediate,<50k,Social Media,South East,North West,Moderate
LRN0000019,Male,18-24,Ogun,Delta,Undergraduate,Student,No,Mobile Phone,Beginner,50k-100k,Campus Outreach,South West,South South,Good
LRN0000020,Female,18-24,FCT,Oyo,Graduate,Student,Yes,Mobile Phone,Beginner,<50k,Community Outreach,North Central,South West,Moderate
LRN0000021,Male,25-34,Rivers,Adamawa,Undergraduate,Unemployed,Yes,Laptop,Beginner,50k-100k,Referral,South South,North East,Moderate
LRN0000022,Male,25-34,Kano,Imo,Postgraduate,Student,Yes,Laptop,Beginner,100k-250k,Social Media,North West,South East,Poor
LRN0000023,Male,25-34,Niger,Delta,Undergraduate,Student,Yes,Mobile Phone,Beginner,100k-250k,Referral,North Central,South South,Moderate
LRN0000024,Male,18-24,Lagos,Kano,OND/ND,Student,No,Mobile Phone,Intermediate,50k-100k,Partner Organisation,South West,North West,Moderate
LRN0000025,Female,25-34,Akwa Ibom,Rivers,Secondary School,Student,Yes,Laptop,Intermediate,100k-250k,Community Outreach,South South,South South,Poor
LRN0000026,Male,18-24,Oyo,Lagos,Postgraduate,Unemployed,Yes,Laptop,Intermediate,100k-250k,Campus Outreach,South West,South West,Moderate
LRN0000027,Male,25-34,Kogi,FCT,Secondary School,Unemployed,Yes,Desktop,Intermediate,50k-100k,Social Media,North Central,North Central,Moderate
LRN0000028,Female,18-24,Edo,Yobe,OND/ND,Student,Yes,Mobile Phone,Beginner,<50k,Social Media,South South,North East,Poor
LRN0000029,Male,18-24,Ondo,Bauchi,Secondary School,Unemployed,Yes,Laptop,Advanced,100k-250k,Referral,South West,North East,Moderate
LRN0000030,Female,25-34,Kano,Plateau,Undergraduate,Self-Employed,Yes,Laptop,Beginner,50k-100k,Referral,North West,North Central,Poor
LRN0000031,Male,18-24,Abia,Jigawa,Undergraduate,Employed,Yes,Mobile Phone,Beginner,100k-250k,Social Media,South East,North West,Poor
LRN0000032,Male,25-34,FCT,Ogun,Graduate,Student,Yes,Mobile Phone,Intermediate,100k-250k,Social Media,North Central,South West,Good
LRN0000033,Female,25-34,Jigawa,Ogun,Undergraduate,Unemployed,Yes,Mobile Phone,Intermediate,50k-100k,Social Media,North West,South West,Good
LRN0000034,Female,25-34,Taraba,Ogun,Undergraduate,Unemployed,Yes,Laptop,Advanced,<50k,Campus Outreach,North East,South West,Moderate
LRN0000035,Female,18-24,Lagos,Anambra,Graduate,Student,Yes,Mobile Phone,Beginner,100k-250k,Social Media,South West,South East,Moderate
LRN0000036,Male,18-24,Lagos,Anambra,Undergraduate,Unemployed,No,Mobile Phone,Advanced,<50k,Referral,South West,South East,Good
LRN0000037,Male,25-34,Kogi,Kaduna,Undergraduate,Unemployed,Yes,Laptop,Intermediate,<50k,Referral,North Central,North West,Poor
LRN0000038,Female,18-24,Bauchi,Ondo,Graduate,Unemployed,No,Mobile Phone,Intermediate,100k-250k,Campus Outreach,North East,South West,Good
LRN0000039,Male,18-24,Bayelsa,Lagos,Undergraduate,Student,Yes,Laptop,Beginner,50k-100k,Social Media,South South,South West,Moderate
LRN0000040,Male,25-34,Anambra,Lagos,Undergraduate,Employed,Yes,Mobile Phone,Intermediate,100k-250k,Social Media,South East,South West,Good
LRN0000041,Male,25-34,Akwa Ibom,Lagos,Undergraduate,Student,Yes,Mobile Phone,Intermediate,<50k,Referral,South South,South West,Good
LRN0000042,Male,18-24,FCT,FCT,Undergraduate,Employed,Yes,Mobile Phone,Beginner,50k-100k,Community Outreach,North Central,North Central,Moderate
LRN0000043,Female,25-34,Jigawa,Oyo,Secondary School,Unemployed,Yes,Mobile Phone,Intermediate,250k+,Referral,North West,South West,Moderate
LRN0000044,Male,18-24,Ondo,Jigawa,Graduate,Self-Employed,Yes,Mobile Phone,Beginner,<50k,Campus Outreach,South West,North West,Moderate
